date,APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,district_name,state_name
2014-09-01,jalna,rajgira,2014,September,4,6233,6233,6233,Jalna,Maharashtra
2014-09-01,chalisgaon,gram,2014,September,110,2180,2655,2455,Jalgaon,Maharashtra
2014-09-01,rahuri,bajri,2014,September,75,1351,1385,1369,Ahmadnagar,Maharashtra
2014-09-01,rahuri,wheat(husked),2014,September,529,1443,1537,1493,Ahmadnagar,Maharashtra
2014-09-01,rahuri,sorgum(jawar),2014,September,21,1590,1655,1633,Ahmadnagar,Maharashtra
2014-09-01,nanded,turmeric,2014,September,392,5000,6058,5765,Nanded,Maharashtra
2014-09-01,nanded,pigeon pea (tur),2014,September,14,3200,4600,4500,Nanded,Maharashtra
2014-09-01,nanded,gram,2014,September,23,2350,2500,2450,Nanded,Maharashtra
2014-09-01,nanded,sorgum(jawar),2014,September,26,1230,1250,1230,Nanded,Maharashtra
2014-09-01,nanded,wheat(husked),2014,September,111,1536,1583,1571,Nanded,Maharashtra
2014-09-01,naigaon,sorgum(jawar),2014,September,2,1000,1050,1000,Nanded,Maharashtra
2014-09-01,chalisgaon,maize,2014,September,2186,1189,1295,1256,Jalgaon,Maharashtra
2014-09-01,loha,turmeric,2014,September,247,4629,5157,4885,Nanded,Maharashtra
2014-09-01,loha,pigeon pea (tur),2014,September,89,4581,4916,4813,Nanded,Maharashtra
2014-09-01,loha,green gram,2014,September,46,5028,6626,6294,Nanded,Maharashtra
2014-09-01,loha,gram,2014,September,11,1800,2576,2401,Nanded,Maharashtra
2014-09-01,loha,sorgum(jawar),2014,September,111,3286,1333,1306,Nanded,Maharashtra
2014-09-01,loha,wheat(husked),2014,September,146,1474,1735,1594,Nanded,Maharashtra
2014-09-01,kinwat,ground nut pods (dry),2014,September,80,3400,3500,3450,Nanded,Maharashtra
2014-09-01,hadgaon,soybean,2014,September,48,3675,3750,3600,Nanded,Maharashtra
2014-09-01,hadgaon,pigeon pea (tur),2014,September,76,4467,4533,4267,Nanded,Maharashtra
2014-09-01,hadgaon,gram,2014,September,92,2433,2533,2367,Nanded,Maharashtra
2014-09-01,hadgaon,sorgum(jawar),2014,September,47,1667,1767,1600,Nanded,Maharashtra
2014-09-01,loha,ground nut pods (dry),2014,September,24,3401,4042,3850,Nanded,Maharashtra
2014-09-01,hadgaon,wheat(husked),2014,September,81,1680,1800,1600,Nanded,Maharashtra
2014-09-01,chalisgaon,sorgum(jawar),2014,September,2022,1140,1486,1402,Jalgaon,Maharashtra
2014-09-01,rahata,brinjal,2014,September,76,1377,1877,1608,Ahmadnagar,Maharashtra
2014-09-01,amalner,wheat(husked),2014,September,1444,1400,1841,1470,Jalgaon,Maharashtra
2014-09-01,amalner,sorgum(jawar),2014,September,915,1343,1561,1452,Jalgaon,Maharashtra
2014-09-01,rahata,garlic,2014,September,39,3092,3515,3277,Ahmadnagar,Maharashtra
2014-09-01,amalner,maize,2014,September,95,1193,1210,1201,Jalgaon,Maharashtra
2014-09-01,amalner,gram,2014,September,268,2180,2334,2252,Jalgaon,Maharashtra
2014-09-01,rahata,capsicum,2014,September,65,1842,2667,2258,Ahmadnagar,Maharashtra
2014-09-01,amalner,green gram,2014,September,3286,5140,6916,6045,Jalgaon,Maharashtra
2014-09-01,amalner,pigeon pea (tur),2014,September,3,3500,3500,3500,Jalgaon,Maharashtra
2014-09-01,rahata,sweet potato,2014,September,2,3000,3000,3000,Ahmadnagar,Maharashtra
2014-09-01,amalner,black gram,2014,September,11,3167,3429,3298,Jalgaon,Maharashtra
2014-09-01,chalisgaon,wheat(husked),2014,September,2433,1380,1665,1574,Jalgaon,Maharashtra
2014-09-01,amalner,coriander (dry),2014,September,17,7000,8000,7500,Jalgaon,Maharashtra
2014-09-01,rahata,shevga,2014,September,2,4000,4000,4000,Ahmadnagar,Maharashtra
2014-09-01,bhusaval,sorgum(jawar),2014,September,103,1088,1148,1127,Jalgaon,Maharashtra
2014-09-01,bhusaval,maize,2014,September,23,1050,1050,1050,Jalgaon,Maharashtra
2014-09-01,rahata,tomato,2014,September,252,1138,1923,1546,Ahmadnagar,Maharashtra
2014-09-01,bhusaval,gram,2014,September,23,2308,2308,2308,Jalgaon,Maharashtra
2014-09-01,bhusaval,green gram,2014,September,20,4440,5090,4570,Jalgaon,Maharashtra
2014-09-01,rahata,small gourd,2014,September,2,1800,1800,1800,Ahmadnagar,Maharashtra
2014-09-01,bhusaval,black gram,2014,September,30,4050,4125,4125,Jalgaon,Maharashtra
2014-09-01,rahata,walvad,2014,September,5,3467,3467,3467,Ahmadnagar,Maharashtra
